year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,29881.96,10355.28,70816.98,51138.29
2018,28788.86,10348.64,70816.98,52158.96
2019,27695.76,10342.12,70816.98,52158.96
2020,26434.49,10334.3,70816.98,52158.96
2021,25257.31,10327.41,70816.98,53179.64
2022,24080.13,10320.36,70816.98,53179.64
2023,23239.28,10315.02,70816.98,54200.31
2024,22314.35,10309.47,70816.98,54200.31
2025,21305.34,10303.47,70816.98,54200.31
2026,20128.15,10296.11,70816.98,55220.98
2027,18866.89,10288.67,70816.98,55220.98
2028,17521.53,10280.13,70816.98,56241.66
2029,16092.1,10271.63,70816.98,56241.66
2030,14914.91,10264.36,70816.98,57262.33
2031,13737.73,10257.12,70816.98,57262.33
2032,12476.46,,,58283.0
2033,11299.28,,,58283.0
2034,10206.18,,,59303.68
2035,9197.17,,,59303.68
2036,8188.15,,,60324.35
