year,Base case cost,White mountain (eagle creek),"Golovin (east tributary  and upper cheenik creek) -- cheenik creek, upper"
2021,228959.430802,1991286.36627,1583793.33882
2022,236665.704335,1995396.43029,1589457.20364
2023,242729.515362,1998942.89465,1594091.32857
2024,247887.492969,2001943.14656,1598023.86096
2025,253379.944255,2005277.87213,1602290.86702
2026,259968.682206,2008989.64247,1607245.678
2027,266237.899421,2012741.51303,1612085.20912
2028,271565.868356,2015911.75626,1616187.73283
2029,277935.821173,2019764.36242,1621127.99955
2030,282980.471228,2023010.90772,1625151.44525
2031,289817.900196,2026971.36908,1630354.94725
2032,297402.189212,2031319.06953,1636101.06843
2033,304343.501769,2035383.41448,1641408.45402
2034,312037.970349,2039841.2945,1647264.75476
2035,316611.996265,2042617.21566,1650817.57632
2036,324400.117475,2047168.74831,1656767.52969
2037,330110.566898,2050721.47202,1661252.53389
2038,338002.571697,2055376.88826,1667306.37085
2039,344515.757947,2059372.72785,1672389.871
2040,352129.952844,2063750.33419,1678165.89806
2041,353669.318758,2065289.7001,1679705.26397
2042,354823.843193,2066444.22454,1680859.78841
2043,356363.209108,2067983.59045,1682399.15432
2044,357517.733543,2069138.11489,1683553.67876
2045,358672.257979,2070292.63932,1684708.20319
2046,360211.623893,2071832.00524,1686247.56911
2047,361366.148328,2072986.52967,1687402.09354
2048,362520.672764,2074141.05411,1688556.61798
2049,363675.197199,2075295.57854,1689711.14242
2050,364829.721635,2076450.10298,1690865.66685
