year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8845.75517226,5749.74086197
2018,8849.60263546,5752.24171305
2019,8853.59275052,5754.83528784
2020,8857.62663527,5757.45731293
2021,8861.62075365,5760.05348988
2022,8865.61073527,5762.64697792
2023,8869.56962438,5765.22025585
2024,8873.56681198,5767.81842779
2025,8877.54465017,5770.40402261
2026,8881.50447339,5772.9779077
2027,8885.37382145,5775.49298394
2028,8889.1683073,5777.95939975
2029,8893.42384288,5780.72549787
2030,8897.51804441,5783.38672887
2031,8901.41114553,5785.9172446
