year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,12957.88,690535.0,690535.0
2004,,12957.88,747478.0,747478.0
2005,,12957.88,700994.0,700994.0
2006,,12957.88,724034.0,724034.0
2007,,12957.88,735917.0,735917.0
2008,,12957.88,739025.0,739025.0
2009,,12957.88,745800.0,745800.0
2010,,12957.88,753372.0,753372.0
2011,,12957.88,781700.0,781700.0
2012,,12957.88,839827.0,839827.0
2013,,12957.88,837602.0,837602.0
2014,start of forecast,12957.88,805000.0,805000.0
2015,,12957.88,809000.0,809000.0
2016,,12957.88,813000.0,813000.0
2017,,12957.88,817000.0,817000.0
2018,,12957.88,822000.0,822000.0
2019,,12957.88,826000.0,826000.0
2020,,12957.88,831000.0,831000.0
2021,,12957.88,836000.0,836000.0
2022,,12957.88,840000.0,840000.0
2023,,12957.88,845000.0,845000.0
2024,,12957.88,849000.0,849000.0
2025,,12957.88,854000.0,854000.0
2026,,12957.88,858000.0,858000.0
2027,,12957.88,863000.0,863000.0
2028,,12957.88,867000.0,867000.0
2029,,12957.88,872000.0,872000.0
2030,,12957.88,877000.0,877000.0
2031,,12957.88,881000.0,881000.0
2032,,12957.88,885000.0,885000.0
2033,,12957.88,889000.0,889000.0
2034,,12957.88,893000.0,893000.0
2035,,12957.88,896000.0,896000.0
2036,,12957.88,900000.0,900000.0
2037,,12957.88,904000.0,904000.0
2038,,12957.88,908000.0,908000.0
2039,,12957.88,912000.0,912000.0
2040,,12957.88,915000.0,915000.0
