year,Base case diesel consumed,Modeled solar power (pv)
2016,63982.8470419,62810.0984267
2017,64297.6457974,63134.279171
2018,64691.1442417,63537.0845483
2019,65005.9429971,63861.1157813
2020,65399.4414414,64263.7728433
2021,65792.9398857,64666.3566364
2022,66107.7386411,64990.1680578
2023,66501.2370854,65392.6070668
2024,66816.0358408,65716.2748624
2025,67209.5342851,66118.5713945
2026,67524.3330406,66442.0978531
2027,67917.8314849,66844.2541789
2028,68232.6302403,67167.6415527
2029,68626.1286846,67569.6599065
2030,69019.6271289,67971.610101
2031,69334.4258843,68294.7929927
2032,69649.2246397,68617.9088113
2033,69964.0233952,68940.9580933
2034,70278.8221506,69263.9413712
2035,70514.9212172,69508.159484
