year,Base case cost,Modeled non-residential energy efficiency
2017,301652.181364,313078.960211
2018,319826.155886,328529.672668
2019,346388.118648,351659.108868
2020,358970.10101,362060.625704
2021,367358.08925,368661.252427
2022,374348.079451,374011.150346
2023,378542.073572,376834.365353
2024,382736.067692,379681.086158
2025,386930.061812,382550.761855
2026,392522.053973,386718.230861
2027,397415.047113,390269.903133
2028,400910.042214,392567.577388
2029,406502.034374,396799.193624
2030,409298.030455,398500.445048
2031,414890.022615,402772.35951
