year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,99101.0,87030.9955189
2018,99103.0,87032.9955189
2019,99104.0,87033.9955189
2020,99989.0,87918.9955189
2021,99991.0,87920.9955189
2022,99992.0,87921.9955189
2023,100878.0,88807.9955189
2024,100879.0,88808.9955189
2025,100881.0,88810.9955189
2026,101767.0,89696.9955189
2027,101769.0,89698.9955189
2028,102656.0,90585.9955189
2029,102657.0,90586.9955189
2030,102659.0,90588.9955189
2031,103545.0,91474.9955189
2032,103547.0,91476.9955189
2033,104434.0,92363.9955189
2034,104436.0,92365.9955189
2035,105322.0,93251.9955189
2036,105323.0,93252.9955189
