year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9290.49151993,6038.81948795
2018,9291.64421094,6039.56873711
2019,9293.07580033,6040.49927021
2020,9294.34378713,6041.32346163
2021,9295.70705308,6042.2095845
2022,9297.0022625,6043.05147062
2023,9298.25930687,6043.86854947
2024,9299.4289453,6044.62881444
2025,9300.87641455,6045.56966945
2026,9302.57542611,6046.67402697
2027,9304.62512904,6048.00633388
2028,9306.52444036,6049.24088623
2029,9308.22038271,6050.34324876
2030,9310.17814258,6051.61579268
2031,9312.01740401,6052.8113126
