year,Base case diesel consumed,Modeled solar power
2020,51466.4805257,50705.0630284
2021,51542.1665264,50786.8403691
2022,51617.8525272,50868.5689792
2023,51693.538528,50950.2492483
2024,51844.9105295,51107.5675641
2025,51920.5965303,51189.1523086
2026,51996.2825311,51270.6898631
2027,52147.6545326,51427.866606
2028,52299.0265342,51584.996911
2029,52450.3985357,51742.0811495
2030,52526.0845365,51823.4336894
2031,52677.456538,51980.4268977
2032,52828.8285396,52137.3751364
2033,52980.2005411,52294.2787652
2034,53055.8865419,52375.4521401
2035,53207.2585435,52532.2676169
2036,53358.630545,52689.0395459
2037,53434.3165458,52770.0822746
2038,53510.0025465,52851.0821496
2039,53661.3745481,53007.7255143
