year,Base case cost,Modeled solar power
2020,140503.491835,145666.175774
2021,146895.1746,151830.88313
2022,152272.664955,157001.326698
2023,155597.550969,160153.499036
2024,159163.875326,163551.138963
2025,162511.46714,166733.986819
2026,166908.066925,170955.184476
2027,171044.306867,174927.221201
2028,174155.758359,177892.55021
2029,178855.859007,182428.768048
2030,181214.991651,184655.87522
2031,185951.421579,189235.61989
2032,191240.359313,194364.552285
2033,196026.742002,199001.417204
2034,201081.809994,203903.605304
2035,204315.872807,207015.265551
2036,209699.418042,212252.597173
2037,213202.923018,215633.150363
2038,218320.81039,220611.264324
2039,222694.704375,224861.655507
