year,Base case cost,American creek
2021,135350.512664,5706289.44581
2022,138471.803312,5535531.15626
2023,140741.832875,5376038.65012
2024,142728.108742,5222436.43744
2025,145433.568149,5069786.28335
2026,147995.020426,4917150.80582
2027,150721.782663,4770632.07089
2028,152434.530193,4631912.603
2029,155929.046423,4489056.08263
2030,157831.815197,4359149.72703
2031,161187.436975,4218778.83051
2032,164076.10072,4080622.23771
2033,166675.89809,3947727.79988
2034,169564.561835,3814746.67809
2035,171586.626457,3692193.87963
2036,174989.966574,3564663.1468
2037,177248.066552,3450099.01757
2038,180682.082745,3327306.02378
2039,183013.464457,3211546.71524
2040,186219.114313,3090081.75928
2041,186763.614647,3000380.17215
2042,186763.614647,2912249.22735
2043,187308.114981,2826728.35109
2044,187852.615315,2743224.63269
2045,188397.11565,2661690.79452
2046,188397.11565,2581536.16703
2047,188941.615984,2503804.66425
2048,188941.615984,2427363.2543
2049,189486.116318,2353257.94048
2050,189486.116318,2280357.73142
2051,189486.116318,2209166.12109
2052,189486.116318,2139643.06385
2053,189486.116318,2071749.45382
2054,189486.116318,2005447.09983
2055,189486.116318,1940698.7073
2056,189486.116318,1877467.85525
2057,189486.116318,1815718.97611
2058,189486.116318,1755417.33688
2059,189486.116318,1696529.01687
2060,189486.116318,1639020.89167
2061,189486.116318,1582860.61362
2062,189486.116318,1528016.59164
2063,189486.116318,1474457.97657
2064,189486.116318,1422154.64168
2065,189486.116318,1371077.16667
2066,189486.116318,1321196.8188
2067,189486.116318,1272485.54249
2068,189486.116318,1224915.93634
2069,189486.116318,1178461.24331
2070,189486.116318,1133095.33199
