year,annotation,diesel generation efficiency
2002,,11.42
2003,,10.46
2004,,10.36
2005,,10.63
2006,,10.77
2007,,10.73
2008,,11.3
2009,,11.76
2010,,11.9
2011,,11.38
2012,,11.93
2013,,11.9
2014,start of forecast,11.74
2015,,11.74
2016,,11.74
2017,,11.74
2018,,11.74
2019,,11.74
2020,,11.74
2021,,11.74
2022,,11.74
2023,,11.74
2024,,11.74
2025,,11.74
2026,,11.74
2027,,11.74
2028,,11.74
2029,,11.74
2030,,11.74
2031,,11.74
2032,,11.74
2033,,11.74
2034,,11.74
2035,,11.74
2036,,11.74
2037,,11.74
2038,,11.74
2039,,11.74
2040,,11.74
