year,Base case cost,Modeled diesel efficiency
2019,123819.716853,266314.342592
2020,130700.530936,268966.089907
2021,135350.512664,269674.265742
2022,138471.803312,269075.200861
2023,140741.832875,267782.807617
2024,142728.108742,266311.114025
2025,145433.568149,265570.037709
2026,147995.020426,264773.059534
2027,150721.782663,264199.618692
2028,152434.530193,262775.884968
2029,155929.046423,263041.802908
2030,157831.815197,261928.9023
2031,161187.436975,262203.402691
2032,164076.10072,262118.459797
2033,166675.89809,261834.450201
2034,169564.561835,261875.096288
2035,171586.626457,261188.520567
2036,174989.966574,261816.825223
2037,177248.066552,261461.790948
2038,180682.082745,262232.205446
