year,Base case cost,Modeled residential energy efficiency
2017,111208.435466,112694.463955
2018,118532.55691,119745.421502
2019,128577.066319,129454.258052
2020,133390.06041,134058.49283
2021,136528.969601,137030.737446
2022,138830.83634,139188.037757
2023,140504.921242,140734.617679
2024,141969.74553,142078.976697
2025,143643.830432,143629.615451
2026,145527.175946,145386.48694
2027,147201.260848,146940.996497
2028,148456.824524,148088.824916
2029,161217.146522,160728.276828
2030,162338.866025,161750.852269
2031,164582.305029,163871.955433
2032,166825.744034,165994.757196
2033,168844.839138,167899.860075
2034,171088.278143,170025.940536
2035,172658.685446,171495.529926
2036,174902.124451,173624.737196
