year,Base case cost,Port alsworth hydropower preconstruction phase -- tanalian falls,Lachbuna lake
2021,321568.031074,,14858872.4024
2022,327832.829202,,14430250.1166
2023,332707.666811,,14028342.5752
2024,336363.795018,,13646589.5522
2025,340629.277926,,13267028.3283
2026,346585.65778,,12884018.2548
2027,351467.145918,,12514203.8583
2028,355128.262021,,12163790.2924
2029,361111.243991,,11803482.6169
2030,364661.795053,,11474077.6604
2031,370671.379138,,11128041.8475
2032,376185.498828,,10788383.7844
2033,381699.618518,,10455437.837
2034,386688.346432,,10128521.3188
2035,390359.438329,,9826284.39204
2036,397016.617656,,9507156.63616
2037,400692.697449,,9217280.49266
2038,406757.979713,,8916159.06645
2039,411609.540471,,8632709.7901
2040,418367.309046,,8330724.05843
2041,418367.309046,,8099384.8917
2042,418367.309046,,7873467.73125
2043,418367.309046,,7652845.51625
2044,418933.43531,,7437960.25872
2045,418933.43531,,7227558.52065
2046,419499.561573,,7022654.19064
2047,419499.561573,,6821999.456
2048,419499.561573,,6626047.56154
2049,420065.687837,,6435254.41295
2050,420065.687837,,6248380.12653
