year,Base case cost,Modeled solar power (pv)
2016,216930.273598,221313.668227
2017,248007.363355,251665.176975
2018,269334.777895,272459.874553
2019,298583.803548,301041.613837
2020,311989.606973,314079.652472
2021,321568.031074,323374.55184
2022,327832.829202,329405.47693
2023,332707.666811,334084.146239
2024,336363.795018,337570.228122
2025,340629.277926,341659.338902
2026,346585.65778,347422.654436
2027,351467.145918,352126.122312
2028,355128.262021,355634.273228
2029,361111.243991,361437.377506
2030,364661.795053,364853.144855
2031,370671.379138,370691.075659
2032,376185.498828,376037.685902
2033,381699.618518,381388.353128
2034,386688.346432,386217.600589
2035,390359.438329,389762.477093
