year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,27715.4463064,20509.4302667
2018,27715.4463064,20509.4302667
2019,27715.4463064,20509.4302667
2020,27715.4463064,20509.4302667
2021,27715.4463064,20509.4302667
2022,27715.4463064,20509.4302667
2023,27715.4463064,20509.4302667
2024,27715.4463064,20509.4302667
2025,27715.4463064,20509.4302667
2026,27715.4463064,20509.4302667
2027,27715.4463064,20509.4302667
2028,27715.4463064,20509.4302667
2029,27715.4463064,20509.4302667
2030,27715.4463064,20509.4302667
2031,27715.4463064,20509.4302667
