year,Base case cost,Modeled residential energy efficiency
2017,404824.177861,402463.475925
2018,427600.15733,420643.475485
2019,469894.406824,457137.413526
2020,484556.771263,468496.952569
2021,494553.837925,475884.206561
2022,501885.020144,481013.112866
2023,507216.789031,484454.554956
2024,511215.615696,486779.431399
2025,515880.913472,489701.725414
2026,521879.153469,493792.365188
2027,527210.922356,497336.153918
2028,531209.749021,499760.978256
2029,549855.222392,516571.180637
2030,553266.222148,518549.643205
2031,559406.021708,522899.610035
