year,Base case diesel consumed,Modeled non-residential ashp
2017,3824.73159028,-4489.90227669
2018,3824.73159028,-4489.90227669
2019,3824.73159028,-4489.90227669
2020,3824.73159028,-4489.90227669
2021,3824.73159028,-4489.90227669
2022,3824.73159028,-4489.90227669
2023,3824.73159028,-4489.90227669
2024,3824.73159028,-4489.90227669
2025,3824.73159028,-4489.90227669
2026,3824.73159028,-4489.90227669
2027,3824.73159028,-4489.90227669
2028,3824.73159028,-4489.90227669
2029,3824.73159028,-4489.90227669
2030,3824.73159028,-4489.90227669
2031,3824.73159028,-4489.90227669
