year,Base case cost,Modeled non-residential energy efficiency
2017,362314.775693,343489.497161
2018,383209.273184,360609.691677
2019,411864.584028,384429.916356
2020,424998.268165,394910.344823
2021,433953.052804,401813.274836
2022,440519.894873,406679.74248
2023,445295.780014,410023.135396
2024,448877.693869,412356.851464
2025,453056.593367,415221.957881
2026,458429.464151,419131.872625
2027,463205.349291,422544.705114
2028,466787.263147,424946.233272
2029,472160.13393,428905.221548
2030,475145.062143,430824.488773
2031,480517.932926,434814.305746
