year,Base case cost,Modeled biomass for heat (cordwood)
2017,130042.547918,165128.259283
2018,144725.417918,175985.008016
2019,165934.007918,191666.978408
2020,175722.587918,198904.810896
2021,182792.117918,204132.13436
2022,187686.407918,207751.050605
2023,191493.077918,210565.763239
2024,194755.937918,212978.374069
2025,198018.797918,215390.984898
2026,202369.277918,218607.799338
2027,206175.947918,221422.511972
2028,209438.807918,223835.122802
2029,213789.287918,227051.937241
2030,215964.527918,228660.344461
2031,220858.817918,232279.260705
2032,,
2033,,
2034,,
2035,,
2036,,
