year,Base case cost,Modeled water and wastewater efficiency
2017,40192.9465388,48040.7954838
2018,42976.5589642,49971.4448425
2019,46958.0987347,52731.9479686
2020,48819.1400753,54022.6737127
2021,50185.644962,54970.7991515
2022,51141.9273725,55634.4567407
2023,51902.1977241,56162.3537201
2024,52557.0975429,56617.1227887
2025,53214.4192508,57073.5964498
2026,54073.3581037,57669.7662719
2027,54840.5602738,58202.505204
2028,55511.2834463,58668.4429847
2029,56323.2172834,59231.1613934
2030,56745.9247402,59524.4096832
2031,57709.8835593,60193.3407008
