year,Base case diesel consumed,Modeled wind power
2019,141158.124177,116724.064564
2020,141299.77809,116865.718477
2021,141441.432003,117007.37239
2022,141583.085916,117149.026303
2023,141724.739829,117290.680215
2024,141795.566785,117361.507172
2025,141937.220698,117503.161085
2026,142078.874611,117644.814998
2027,142220.528524,117786.468911
2028,142362.182437,117928.122823
2029,142362.182437,117928.122823
2030,142433.009393,117998.94978
2031,142503.83635,118069.776736
2032,142787.144175,118353.084562
2033,143070.452001,118636.392388
2034,143353.759827,118919.700213
2035,143566.240696,119132.181083
2036,143849.548522,119415.488909
2037,144062.029391,119627.969778
2038,144274.510261,119840.450647
