year,Base case cost,Modeled biomass for heat (pellet)
2017,130042.547918,161687.934607
2018,144725.417918,172162.071213
2019,165934.007918,187291.379645
2020,175722.587918,194274.137382
2021,182792.117918,199317.240192
2022,187686.407918,202808.619061
2023,191493.077918,205524.135959
2024,194755.937918,207851.721871
2025,198018.797918,210179.307784
2026,202369.277918,213282.755667
2027,206175.947918,215998.272565
2028,209438.807918,218325.858478
2029,213789.287918,221429.306361
2030,215964.527918,222981.030303
2031,220858.817918,226472.409171
2032,,
2033,,
2034,,
2035,,
2036,,
