year,Base case diesel consumed,Modeled residential ashp
2017,160166.154556,21874.5443931
2018,162927.355471,24635.7453082
2019,164307.955929,26016.3457657
2020,167069.156844,28777.5466808
2021,168449.757301,30158.1471384
2022,171210.958216,32919.3480535
2023,173972.159131,35680.5489686
2024,175352.759589,37061.1494261
2025,178113.960504,39822.3503412
2026,180875.161419,42583.5512563
2027,183636.362334,45344.7521714
2028,186397.563249,48105.9530865
2029,187778.163707,49486.553544
2030,190539.364622,52247.7544591
2031,193300.565537,55008.9553742
