year,Base case cost,Modeled water and wastewater efficiency
2017,52317.812835,39781.988557
2018,55603.0539571,42066.758962
2019,60077.3227864,45184.4854837
2020,62391.1049852,46789.1587907
2021,64312.4567448,48127.061052
2022,65979.2826319,49285.9281119
2023,67479.1470296,50341.0755741
2024,68719.7202553,51204.1015004
2025,70114.6606928,52177.0255831
2026,71948.0877562,53470.3655152
2027,73404.0022763,54488.99762
2028,74921.7227541,55558.7695344
2029,76410.4498974,56602.2465532
2030,77709.9406359,57516.0241922
2031,79396.8715162,58701.676738
