year,Base case diesel consumed,Modeled non-residential ashp
2017,12419.7791016,-14579.7407115
2018,12419.7791016,-14579.7407115
2019,12419.7791016,-14579.7407115
2020,12419.7791016,-14579.7407115
2021,12419.7791016,-14579.7407115
2022,12419.7791016,-14579.7407115
2023,12419.7791016,-14579.7407115
2024,12419.7791016,-14579.7407115
2025,12419.7791016,-14579.7407115
2026,12419.7791016,-14579.7407115
2027,12419.7791016,-14579.7407115
2028,12419.7791016,-14579.7407115
2029,12419.7791016,-14579.7407115
2030,12419.7791016,-14579.7407115
2031,12419.7791016,-14579.7407115
