year,Base case diesel consumed,Modeled solar power (pv)
2016,98726.8115782,96955.3415215
2017,99729.1142339,97971.8159375
2018,100814.942111,99071.7022008
2019,102067.82043,100338.52644
2020,103320.69875,101605.239111
2021,104490.051848,102788.315886
2022,105659.404946,103971.282872
2023,107079.333708,105404.716611
2024,108332.212028,106670.991867
2025,109585.090347,107937.159948
2026,110837.968667,109203.221711
2027,112007.321765,110385.652785
2028,113176.674863,111567.979235
2029,114596.603626,113000.777562
2030,116016.532388,114433.472933
2031,117185.885486,115615.490506
2032,118188.188141,116630.356322
2033,119023.440354,117478.071189
2034,119942.217789,118409.211577
2035,120860.995223,119340.253061
