year,Base case diesel consumed,"Mentasta lake (right tributary of slana river) -- slana river, tributary",Carlson creek
2021,104490.051848,86498.0635067,12108.9107173
2022,105659.404946,87667.416605,13278.2638155
2023,107079.333708,89087.3453671,14698.1925776
2024,108332.212028,90340.2236866,15951.0708971
2025,109585.090347,91593.1020061,17203.9492166
2026,110837.968667,92845.9803256,18456.8275362
2027,112007.321765,94015.3334239,19626.1806344
2028,113176.674863,95184.6865221,20795.5337326
2029,114596.603626,96604.6152842,22215.4624947
2030,116016.532388,98024.5440463,23635.3912569
2031,117185.885486,99193.8971445,24804.7443551
2032,118188.188141,100196.1998,25807.0470107
2033,119023.440354,101031.452013,26642.2992237
2034,119942.217789,101950.229447,27561.076658
2035,120860.995223,102869.006882,28479.8540923
2036,121863.297879,103871.309537,29482.1567479
2037,122949.125756,104957.137414,30567.9846249
2038,123867.90319,105875.914849,31486.7620592
2039,124703.155403,106711.167062,32322.0142722
2040,125454.882395,107462.894053,33073.7412639
2041,126123.084165,108131.095824,33741.9430343
2042,126874.811157,108882.822816,34493.670026
2043,127543.012927,109551.024586,35161.8717964
2044,128294.739919,110302.751578,35913.5987882
2045,128962.941689,110970.953348,36581.8005586
2046,129547.618238,111555.629897,37166.4771077
2047,130132.294788,112140.306446,37751.1536568
2048,130633.446115,112641.457774,38252.3049846
2049,131134.597443,113142.609102,38753.4563124
2050,131635.748771,113643.76043,39254.6076402
2051,131635.748771,113643.76043,39254.6076402
2052,131635.748771,113643.76043,39254.6076402
2053,131635.748771,113643.76043,39254.6076402
2054,131635.748771,113643.76043,39254.6076402
2055,131635.748771,113643.76043,39254.6076402
2056,131635.748771,113643.76043,39254.6076402
2057,131635.748771,113643.76043,39254.6076402
2058,131635.748771,113643.76043,39254.6076402
2059,131635.748771,113643.76043,39254.6076402
2060,131635.748771,113643.76043,39254.6076402
2061,131635.748771,113643.76043,39254.6076402
2062,131635.748771,113643.76043,39254.6076402
2063,131635.748771,113643.76043,39254.6076402
2064,131635.748771,113643.76043,39254.6076402
2065,131635.748771,113643.76043,39254.6076402
2066,131635.748771,113643.76043,39254.6076402
2067,131635.748771,113643.76043,39254.6076402
2068,131635.748771,113643.76043,39254.6076402
2069,131635.748771,113643.76043,39254.6076402
2070,131635.748771,113643.76043,39254.6076402
