year,Base case cost,Modeled solar power (pv)
2016,159937.434757,171459.435332
2017,198460.937325,209052.940085
2018,228849.918591,238686.157687
2019,271500.402345,280405.197197
2020,293430.78445,301781.711734
2021,310335.453989,318228.879826
2022,324374.373185,331870.646566
2023,336229.107844,343387.170303
2024,346663.078489,353507.263143
2025,358343.245436,364864.363268
2026,371307.195034,377496.294506
2027,383065.040437,388945.83804
2028,393854.828525,399450.494177
2029,406817.942871,412119.193041
2030,417659.516595,422704.798077
2031,432415.917443,437148.549141
2032,445569.469293,450012.034192
2033,459430.479768,463574.135455
2034,473771.760266,477623.227217
2035,484652.590845,488264.073749
