year,Base case cost,"Mentasta lake (right tributary of slana river) -- slana river, tributary",Carlson creek
2021,310335.453989,1021619.74626,1672934.59654
2022,324374.373185,1018952.79477,1646573.1343
2023,336229.107844,1014938.67773,1621261.69527
2024,346663.078489,1010010.37216,1596091.94065
2025,358343.245436,1006504.58924,1572059.48517
2026,371307.195034,1004451.00736,1549185.0832
2027,383065.040437,1001674.16877,1526616.5206
2028,393854.828525,998404.578797,1504575.79213
2029,406817.942871,997454.104698,1484534.49557
2030,417659.516595,995003.914678,1464663.62031
2031,432415.917443,996116.898452,1446022.25511
2032,445569.469293,996073.899688,1427213.39915
2033,459430.479768,996856.376147,1408878.99282
2034,473771.760266,998391.673935,1391604.97988
2035,484652.590845,997215.91231,1373918.20819
2036,500858.154282,1000980.50568,1358801.19838
2037,511468.363144,1000208.95634,1342764.39036
2038,527677.267589,1004478.60765,1328718.62218
2039,539964.662895,1005552.05126,1313747.76264
2040,555765.129009,1009891.7389,1300311.98577
2041,558725.262851,1003232.71171,1282797.80934
2042,562055.413425,997169.150339,1266133.51627
2043,565015.547268,990955.737396,1249567.82633
2044,568345.697841,985327.346152,1233829.78954
2045,571305.831684,979538.904035,1218168.64673
2046,573895.948796,973585.489926,1202573.92334
2047,576486.065909,967832.31485,1187405.40719
2048,578706.166291,961904.668954,1172283.09228
2049,580926.266673,956167.985787,1157567.24007
2050,583146.367056,950617.789788,1143248.32436
2051,583146.367056,943029.609739,1127096.94148
2052,583146.367056,935619.277656,1111324.10663
2053,583146.367056,928382.625258,1095920.94765
2054,583146.367056,921315.58184,1080878.80008
2055,583146.367056,914414.172275,1066189.2029
2056,583146.367056,907674.514503,1051843.89316
2057,583146.367056,901092.817468,1037834.80164
2058,583146.367056,894665.378932,1024154.04815
2059,583146.367056,888388.583538,1010793.93742
2060,583146.367056,882258.900494,997746.9542
2061,583146.367056,876272.8819,985005.759658
2062,583146.367056,870427.16062,972563.186869
2063,583146.367056,864718.448415,960412.236843
2064,583146.367056,859143.534204,948546.074818
2065,583146.367056,853699.282004,936958.025878
2066,583146.367056,848382.629447,925641.571796
2067,583146.367056,843190.585977,914590.347199
2068,583146.367056,838120.230984,903798.135589
2069,583146.367056,833168.71245,893258.866468
2070,583146.367056,828333.245145,882966.611496
