year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,,509544.95,718198.74,,372142.09,461766.31
2018,,557823.84,756458.22,,387974.3,474534.14
2019,,625069.44,812274.9,,410026.3,494237.9
2020,,656105.88,829982.43,,420204.15,499057.46
2021,,678521.08,838268.24,,427554.82,500208.6
2022,,695763.54,840861.82,,433209.18,499144.65
2023,,707833.26,830800.58,,437167.23,492081.16
2024,,718178.74,825879.19,,440559.85,488090.49
2025,,730248.46,822178.34,,444517.9,484595.95
2026,,744042.43,819614.0,,449041.39,481567.49
2027,,756112.16,815100.9,,452999.44,477782.29
2028,,766457.63,808723.06,,456392.06,473270.41
2029,,778527.36,803453.73,,460350.11,469214.59
2030,,787148.59,787100.24,,463177.29,459780.66
2031,,802666.8,783753.82,,468266.21,456531.69
2032,,,786653.6,,,456751.44
2033,,,782452.93,,,453196.77
2034,,,786097.1,,,453742.27
2035,,,777142.47,,,448308.27
2036,,,772901.95,,,444798.71
