year,Base case diesel consumed,Modeled wind power
2019,102067.82043,75707.9902639
2020,103320.69875,76960.8685834
2021,104490.051848,78130.2216817
2022,105659.404946,79299.5747799
2023,107079.333708,80719.503542
2024,108332.212028,81972.3818615
2025,109585.090347,83225.260181
2026,110837.968667,84478.1385006
2027,112007.321765,85647.4915988
2028,113176.674863,86816.844697
2029,114596.603626,88236.7734591
2030,116016.532388,89656.7022213
2031,117185.885486,90826.0553195
2032,118188.188141,91828.3579751
2033,119023.440354,92663.6101881
2034,119942.217789,93582.3876224
2035,120860.995223,94501.1650567
2036,121863.297879,95503.4677123
2037,122949.125756,96589.2955893
2038,123867.90319,97508.0730236
