year,Base case cost,Modeled wind power
2019,271500.402345,454448.908111
2020,293430.78445,467401.817496
2021,310335.453989,476559.476359
2022,324374.373185,483633.498312
2023,336229.107844,489302.784723
2024,346663.078489,493882.533874
2025,358343.245436,499591.544871
2026,371307.195034,506464.922601
2027,383065.040437,512455.977119
2028,393854.828525,517800.388788
2029,406817.942871,525191.609971
2030,417659.516595,531000.94722
2031,432415.917443,539925.703612
2032,445569.469293,547560.101304
2033,459430.479768,555766.725764
2034,473771.760266,564539.145941
2035,484652.590845,570603.067662
2036,500858.154282,581182.045434
2037,511468.363144,587359.371168
2038,527677.267589,598099.127087
