year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,31957.5043274,23648.5532023
2018,31957.5043274,23648.5532023
2019,31957.5043274,23648.5532023
2020,31957.5043274,23648.5532023
2021,31957.5043274,23648.5532023
2022,31957.5043274,23648.5532023
2023,31957.5043274,23648.5532023
2024,31957.5043274,23648.5532023
2025,31957.5043274,23648.5532023
2026,31957.5043274,23648.5532023
2027,31957.5043274,23648.5532023
2028,31957.5043274,23648.5532023
2029,31957.5043274,23648.5532023
2030,31957.5043274,23648.5532023
2031,31957.5043274,23648.5532023
