year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.3
2004,,,3.1
2005,,,3.86
2006,,,4.57
2008,,,5.04
2009,,,6.5
2010,,,5.25
2011,,5.18,6.05
2012,,6.3,5.76
2013,,7.3,6.49
2014,,,7.74
2016,,2.11,2.83
2017,,2.58,3.3
2018,,2.93,3.65
2019,,3.43,4.15
2020,,3.67,4.39
2021,,3.83,4.55
2022,,3.95,4.67
2023,,4.04,4.76
2024,,4.11,4.83
2025,,4.2,4.92
2026,,4.3,5.02
2027,,4.39,5.11
2028,,4.46,5.18
2029,,4.56,5.28
2030,,4.62,5.34
2031,,4.73,5.45
2032,,4.84,5.56
2033,,4.95,5.67
2034,,5.07,5.79
2035,,5.14,5.86
2036,,5.26,5.98
2037,,5.33,6.05
2038,,5.45,6.17
2039,,5.54,6.26
2040,,5.67,6.39
