year,annotation,consumption kWh,residential kWh,non-residential kWh
2011,,593819.0,181149.0,412670.0
2012,,622795.0,183991.0,438804.0
2013,,571539.0,160751.0,410788.0
2014,start of forecast,600717.0,179963.0,420754.0
2015,,627143.0,206389.0,420754.0
2016,,621258.0,200504.0,420754.0
2017,,666836.0,246082.0,420754.0
2018,,712633.0,291879.0,420754.0
2019,,784710.0,363956.0,420754.0
2020,,896151.0,475397.0,420754.0
2021,,1019434.0,598680.0,420754.0
2022,,1171994.0,751240.0,420754.0
2023,,1342427.0,921673.0,420754.0
2024,,1543305.0,1122551.0,420754.0
2025,,1756758.0,1336004.0,420754.0
2026,,1972373.0,1551619.0,420754.0
2027,,2175887.0,1755133.0,420754.0
2028,,2378046.0,1957292.0,420754.0
2029,,2561205.0,2140451.0,420754.0
2030,,2810264.0,2389510.0,420754.0
2031,,3039308.0,2618554.0,420754.0
2032,,3285506.0,2864752.0,420754.0
2033,,3533212.0,3112458.0,420754.0
2034,,3792429.0,3371675.0,420754.0
2035,,4055662.0,3634908.0,420754.0
2036,,4258840.0,3838086.0,420754.0
2037,,4460589.0,4039835.0,420754.0
2038,,4684216.0,4263462.0,420754.0
2039,,4927511.0,4506757.0,420754.0
2040,,5190818.0,4770064.0,420754.0
