year,Base case diesel consumed,Modeled wind power
2019,73276.9722657,62443.991926
2020,83693.0826374,72860.1022978
2021,95201.7919993,84368.8116596
2022,109405.57887,98572.5985302
2023,125357.524124,114524.543785
2024,144077.386821,133244.406481
2025,164035.528372,153202.548032
2026,184139.349789,173306.369449
2027,203150.572216,192317.591876
2028,222016.114777,211183.134438
2029,239133.498955,228300.518615
2030,262369.437476,251536.457137
2031,283711.537748,272878.557409
2032,306728.956472,295895.976132
2033,329819.215128,318986.234789
2034,354074.912707,343241.932368
2035,378621.970017,367788.989677
2036,397633.192444,386800.212104
2037,416425.895072,405592.914733
2038,437330.955749,426497.975409
