year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,,,,,,
2004,,,,,,,
2005,,,,,,,
2006,,,,,,,
2007,,,,,,,
2008,,,,,,,
2009,,,,,,,
2010,,0.0,0.0,0.0,0.0,0.0,0.0
2011,,0.0,0.0,0.0,0.0,0.0,799815.0
2012,,0.0,0.0,0.0,0.0,0.0,788280.0
2013,,0.0,0.0,0.0,0.0,0.0,707230.0
2014,start of forecast,0.0,0.0,0.0,0.0,0.0,770000.0
2015,,0.0,0.0,0.0,0.0,0.0,804000.0
2016,,0.0,0.0,0.0,0.0,0.0,796000.0
2017,,0.0,0.0,0.0,0.0,0.0,855000.0
2018,,0.0,0.0,0.0,0.0,0.0,913000.0
2019,,0.0,0.0,0.0,0.0,0.0,1006000.0
2020,,0.0,0.0,0.0,0.0,0.0,1149000.0
2021,,0.0,0.0,0.0,0.0,0.0,1307000.0
2022,,0.0,0.0,0.0,0.0,0.0,1502000.0
2023,,0.0,0.0,0.0,0.0,0.0,1721000.0
2024,,0.0,0.0,0.0,0.0,0.0,1978000.0
2025,,0.0,0.0,0.0,0.0,0.0,2252000.0
2026,,0.0,0.0,0.0,0.0,0.0,2528000.0
2027,,0.0,0.0,0.0,0.0,0.0,2789000.0
2028,,0.0,0.0,0.0,0.0,0.0,3048000.0
2029,,0.0,0.0,0.0,0.0,0.0,3283000.0
2030,,0.0,0.0,0.0,0.0,0.0,3602000.0
2031,,0.0,0.0,0.0,0.0,0.0,3895000.0
2032,,0.0,0.0,0.0,0.0,0.0,4211000.0
2033,,0.0,0.0,0.0,0.0,0.0,4528000.0
2034,,0.0,0.0,0.0,0.0,0.0,4861000.0
2035,,0.0,0.0,0.0,0.0,0.0,5198000.0
2036,,0.0,0.0,0.0,0.0,0.0,5459000.0
2037,,0.0,0.0,0.0,0.0,0.0,5717000.0
2038,,0.0,0.0,0.0,0.0,0.0,6004000.0
2039,,0.0,0.0,0.0,0.0,0.0,6316000.0
2040,,0.0,0.0,0.0,0.0,0.0,6653000.0
