year,Base case cost,Modeled wind power
2019,251340.014871,419665.391717
2020,306818.840949,468171.22784
2021,364718.065149,520006.924544
2022,432589.658851,582391.637741
2023,506695.112511,651504.793143
2024,592734.36938,732827.580069
2025,688621.148106,823952.458609
2026,792351.622142,922770.904776
2027,891831.012027,1017630.46397
2028,991079.936365,1112492.73759
2029,1091166.15573,1207990.47336
2030,1212933.90945,1325695.26043
2031,1341671.86201,1449925.26587
2032,1484568.14932,1588333.97472
2033,1632934.9341,1732288.7132
2034,1794451.6576,1889398.78076
2035,1946116.92589,2037242.21257
2036,2091152.95906,2177991.17716
2037,2219550.02074,2302716.83853
2038,2383453.70883,2462457.84491
