year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6477.49055974,4210.36886383
2018,6477.15235119,4210.14902827
2019,6476.62007084,4209.80304605
2020,6475.79708769,4209.268107
2021,6474.88665077,4208.676323
2022,6473.7600087,4207.94400566
2023,6472.50137622,4207.12589454
2024,6471.01790118,4206.16163577
2025,6469.441574,4205.1370231
2026,6467.8492676,4204.10202394
2027,6466.3463314,4203.12511541
2028,6464.85340919,4202.15471598
2029,6463.5007909,4201.27551409
2030,6461.66150859,4200.07998058
2031,6459.97003394,4198.98052206
