year,Base case cost,Modeled solar power
2020,306818.840949,
2021,364718.065149,
2022,432589.658851,
2023,506695.112511,
2024,592734.36938,
2025,688621.148106,
2026,792351.622142,
2027,891831.012027,
2028,991079.936365,
2029,1091166.15573,
2030,1212933.90945,
2031,1341671.86201,
2032,1484568.14932,
2033,1632934.9341,
2034,1794451.6576,
2035,1946116.92589,
2036,2091152.95906,
2037,2219550.02074,
2038,2383453.70883,
2039,2549175.91868,
