year,Base case cost,Modeled residential energy efficiency
2017,329723.847832,347988.107799
2018,345537.716385,361282.685625
2019,362274.220586,374849.181574
2020,372161.102927,382804.660006
2021,379929.367624,388867.129147
2022,384872.808795,392397.337307
2023,389110.044084,395310.884735
2024,385139.915523,390173.59276
2025,388607.913303,392427.958687
2026,385835.888973,388395.341226
2027,389921.848358,391240.761
2028,385586.13636,385819.085054
2029,389596.457792,388627.574907
2030,392270.005413,390252.959395
2031,389018.940718,385836.977979
2032,393609.404778,389212.840351
2033,397544.088258,392017.811865
2034,394621.039682,387914.541238
2035,397193.736701,389526.092309
2036,394043.774268,385228.69481
