year,Base case cost,Modeled biomass for heat (cordwood)
2017,393081.510579,549035.97186
2018,420059.890579,567150.539887
2019,459301.170579,594375.464756
2020,476469.230579,605321.074538
2021,489958.420579,613587.455938
2022,498542.450579,618266.91032
2023,505900.190579,622078.713677
2024,510805.350579,624115.211881
2025,516936.800579,627095.724369
2026,524294.540579,631019.377474
2027,531652.280579,634978.580004
2028,536557.440579,637159.022714
2029,543915.180579,641186.844025
2030,548820.340579,643434.297271
2031,556178.080579,647527.558559
2032,,
2033,,
2034,,
2035,,
2036,,
