year,Base case cost,Modeled solar power
2020,280571.235212,289472.38245
2021,291146.931806,299591.707557
2022,298767.9638,306819.448465
2023,304419.703132,312121.945549
2024,308106.503434,315502.51998
2025,313742.27945,320804.978241
2026,320346.012877,327066.097978
2027,326206.000918,332608.412671
2028,330843.344103,336952.44427
2029,336448.644699,342254.772315
2030,340096.262317,345639.781315
2031,346917.67732,352155.695489
2032,353739.092324,358678.742918
2033,360560.507327,365208.770861
2034,368356.410188,372704.049045
2035,373228.849477,377330.626341
2036,380333.25053,384163.571041
2037,385209.317844,388805.957672
2038,392035.812084,395373.414504
2039,398183.139806,401283.275864
