year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,1298869
2004,,0,0,0,0,0,1445235
2005,,0,0,0,0,0,1407455
2006,,0,0,0,0,0,1335217
2007,,0,0,0,0,0,1311507
2008,,0,0,0,0,0,1360444
2009,,0,0,0,0,0,1308220
2010,,0,0,0,0,0,1385532
2011,,0,0,0,0,0,1333049
2012,,0,0,0,0,0,1339697
2013,,0,0,0,0,0,1319007
2014,start of forecast,0,0,0,0,0,1360000
2015,,0,0,0,0,0,1358000
2016,,0,0,0,0,0,1357000
2017,,0,0,0,0,0,1356000
2018,,0,0,0,0,0,1355000
2019,,0,0,0,0,0,1354000
2020,,0,0,0,0,0,1352000
2021,,0,0,0,0,0,1351000
2022,,0,0,0,0,0,1350000
2023,,0,0,0,0,0,1349000
2024,,0,0,0,0,0,1348000
2025,,0,0,0,0,0,1347000
2026,,0,0,0,0,0,1346000
2027,,0,0,0,0,0,1346000
2028,,0,0,0,0,0,1345000
2029,,0,0,0,0,0,1344000
2030,,0,0,0,0,0,1343000
2031,,0,0,0,0,0,1343000
2032,,0,0,0,0,0,1343000
2033,,0,0,0,0,0,1343000
2034,,0,0,0,0,0,1343000
2035,,0,0,0,0,0,1343000
2036,,0,0,0,0,0,1344000
2037,,0,0,0,0,0,1344000
2038,,0,0,0,0,0,1344000
2039,,0,0,0,0,0,1345000
2040,,0,0,0,0,0,1346000
