year,Base case diesel consumed,Koyuk wind phase ii feasibility,Modeled wind power
2019,98246.9515448,77608.3132975,70384.7899109
2020,98101.8304937,77463.1922464,70239.6688599
2021,98029.2699682,77390.6317209,70167.1083344
2022,97956.7094427,77318.0711954,70094.5478088
2023,97884.1489172,77245.5106699,70021.9872833
2024,97811.5883917,77172.9501444,69949.4267578
2025,97739.0278662,77100.3896189,69876.8662323
2026,97666.4673407,77027.8290933,69804.3057068
2027,97666.4673407,77027.8290933,69804.3057068
2028,97593.9068151,76955.2685678,69731.7451813
2029,97521.3462896,76882.7080423,69659.1846558
2030,97448.7857641,76810.1475168,69586.6241303
2031,97448.7857641,76810.1475168,69586.6241303
2032,97448.7857641,76810.1475168,69586.6241303
2033,97448.7857641,76810.1475168,69586.6241303
2034,97448.7857641,76810.1475168,69586.6241303
2035,97448.7857641,76810.1475168,69586.6241303
2036,97521.3462896,76882.7080423,69659.1846558
2037,97521.3462896,76882.7080423,69659.1846558
2038,97521.3462896,76882.7080423,69659.1846558
