year,Base case diesel consumed,Modeled solar power
2020,98101.8304937,96303.7112917
2021,98029.2699682,96245.5357198
2022,97956.7094427,96187.2450683
2023,97884.1489172,96128.8402578
2024,97811.5883917,96070.3222016
2025,97739.0278662,96011.6918056
2026,97666.4673407,95952.9499685
2027,97666.4673407,95966.6581075
2028,97593.9068151,95907.6960559
2029,97521.3462896,95848.6252164
2030,97448.7857641,95789.4464595
2031,97448.7857641,95802.7211739
2032,97448.7857641,95815.8896907
2033,97448.7857641,95828.9528592
2034,97448.7857641,95841.9115225
2035,97448.7857641,95854.7665164
2036,97521.3462896,95940.0791959
2037,97521.3462896,95952.7293327
2038,97521.3462896,95965.2782683
2039,97593.9068151,96050.287338
