year,Base case cost,Koyuk wind phase ii feasibility,Modeled wind power
2019,264284.299655,443635.501577,449838.740013
2020,280571.235212,452415.412134,457157.264452
2021,291146.931806,456645.134965,460304.639269
2022,298767.9638,458551.175179,461322.485876
2023,304419.703132,458940.618801,460956.115764
2024,308106.503434,457815.452945,459207.298637
2025,313742.27945,458383.830972,459037.767913
2026,320346.012877,459838.340284,459701.455564
2027,326206.000918,460816.79926,459959.081309
2028,330843.344103,460838.156167,459329.395688
2029,336448.644699,461739.186139,459525.876915
2030,340096.262317,461119.784022,458332.886998
2031,346917.67732,463230.112637,459692.645056
2032,353739.092324,465422.004877,461141.459877
2033,360560.507327,467693.549112,462677.244211
2034,368356.410188,470841.503752,465035.033053
2035,373228.849477,471669.544644,465264.542401
2036,380333.25053,474452.003792,467332.181156
2037,385209.317844,475430.297466,467725.413499
2038,392035.812084,478078.038031,469671.488174
