year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,98392.07,13331.3,174183.47,103829.26
2018,98319.51,13334.06,174183.47,103829.26
2019,98246.95,13336.96,174183.47,105071.82
2020,98101.83,13339.79,174183.47,105071.82
2021,98029.27,13342.42,174183.47,106314.38
2022,97956.71,13344.94,174183.47,106314.38
2023,97884.15,13347.3,174183.47,107556.93
2024,97811.59,13349.64,174183.47,107556.93
2025,97739.03,13351.83,174183.47,108799.49
2026,97666.47,13353.88,174183.47,108799.49
2027,97666.47,13355.63,174183.47,110042.04
2028,97593.91,13357.11,174183.47,110042.04
2029,97521.35,13359.3,174183.47,110042.04
2030,97448.79,13361.03,174183.47,111284.6
2031,97448.79,13362.24,174183.47,111284.6
2032,97448.79,13362.41,174183.47,111284.6
2033,97448.79,13362.1,174183.47,111284.6
2034,97448.79,13361.53,174183.47,111284.6
2035,97448.79,13360.9,174183.47,111284.6
2036,97521.35,13360.34,174183.47,111284.6
2037,97521.35,13359.77,174183.47,110042.04
2038,97521.35,13358.84,174183.47,110042.04
2039,97593.91,13357.29,174183.47,110042.04
2040,97666.47,13355.22,174183.47,108799.49
