year,Base case diesel consumed,Modeled diesel efficiency
2019,98246.9515448,89315.4104952
2020,98101.8304937,89183.482267
2021,98029.2699682,89117.5181529
2022,97956.7094427,89051.5540388
2023,97884.1489172,88985.5899247
2024,97811.5883917,88919.6258106
2025,97739.0278662,88853.6616965
2026,97666.4673407,88787.6975824
2027,97666.4673407,88787.6975824
2028,97593.9068151,88721.7334683
2029,97521.3462896,88655.7693542
2030,97448.7857641,88589.8052401
2031,97448.7857641,88589.8052401
2032,97448.7857641,88589.8052401
2033,97448.7857641,88589.8052401
2034,97448.7857641,88589.8052401
2035,97448.7857641,88589.8052401
2036,97521.3462896,88655.7693542
2037,97521.3462896,88655.7693542
2038,97521.3462896,88655.7693542
