year,Base case diesel consumed,Modeled residential ashp
2017,173824.018867,37575.3152983
2018,178645.596304,42396.8927348
2019,183467.17374,47218.4701713
2020,188288.751177,52040.0476079
2021,194717.521092,58468.8175233
2022,199539.098529,63290.3949598
2023,205967.868444,69719.1648752
2024,212396.63836,76147.9347905
2025,217218.215796,80969.5122271
2026,223646.985711,87398.2821425
2027,230075.755627,93827.0520578
2028,236504.525542,100255.821973
2029,242933.295458,106684.591889
2030,249362.065373,113113.361804
2031,257398.027767,121149.324198
