year,Base case cost,Modeled non-residential energy efficiency
2017,443419.240601,460491.471798
2018,466650.817257,481889.120974
2019,497626.252797,510419.319876
2020,512253.541802,523891.913801
2021,522578.686983,533401.980102
2022,530322.545868,540534.529827
2023,535485.118458,545289.562978
2024,539787.262283,549252.090603
2025,544949.834873,554007.123753
2026,550972.836228,559554.662429
2027,556135.408818,564309.695579
2028,560437.552643,568272.223204
2029,566460.553998,573819.761879
2030,569902.269058,576989.78398
2031,576785.699178,583329.82818
