year,Base case diesel consumed,Modeled residential energy efficiency
2017,48336.9113135,33535.0838865
2018,49579.4671249,34777.6396979
2019,49579.4671249,34777.6396979
2020,50822.0229363,36020.1955093
2021,52064.5787478,37262.7513207
2022,53307.1345592,38505.3071321
2023,53307.1345592,38505.3071321
2024,54549.6903706,39747.8629435
2025,55792.246182,40990.4187549
2026,55792.246182,40990.4187549
2027,57034.8019934,42232.9745663
2028,58277.3578048,43475.5303777
2029,59519.9136162,44718.0861892
2030,59519.9136162,44718.0861892
2031,60762.4694276,45960.6420006
2032,62005.025239,47203.197812
2033,62005.025239,47203.197812
2034,63247.5810505,48445.7536234
2035,64490.1368619,49688.3094348
2036,64490.1368619,49688.3094348
