year,Base case cost,Modeled water and wastewater efficiency
2017,57803.2371418,49082.7061995
2018,60902.9837448,51168.9098137
2019,65036.3656735,53949.5308619
2020,66975.5854912,55258.4379181
2021,68337.1084673,56179.8392509
2022,69351.8601153,56868.686408
2023,70020.5557088,57325.312204
2024,70573.3048836,57704.2844125
2025,71240.4250502,58160.1449723
2026,72021.5567468,58692.7444788
2027,72687.5144025,59147.9539648
2028,73238.3191609,59525.8154826
2029,74014.5704753,60056.3759245
2030,74446.9821704,60355.7138881
2031,75338.0137138,60963.0700261
