year,Base case cost,Modeled wind power
2019,1421115.62342,1529834.27405
2020,1509479.96002,1596222.00751
2021,1569465.60183,1641556.58057
2022,1616124.8794,1676894.57773
2023,1650316.24183,1703094.44811
2024,1676272.99177,1723057.57902
2025,1710659.31887,1749452.41407
2026,1749907.67191,1779377.35972
2027,1784511.63398,1805989.82974
2028,1813951.29931,1828769.91836
2029,1851404.91943,1857566.08876
2030,1875212.52393,1876046.0319
2031,1915518.82479,1907028.92537
2032,1955952.0794,1938138.77259
2033,1999739.02862,1971936.35675
2034,2043684.67001,2005892.63308
2035,2073852.80798,2029401.19435
2036,2117479.55368,2063038.57498
2037,2147851.72444,2086751.16904
2038,2191727.84355,2120637.92308
