year,Base case cost,Fivemile creek hydroelectric project,Fivemile creek (chitina),Chitina (haley creek)
2020,133656.446716,446391.327096,,
2021,140000.8983,447598.272949,639386.971078,757306.250031
2022,144653.496129,448483.366575,639463.827759,761268.096063
2023,147614.240202,449046.607973,639512.736555,763789.270811
2024,150574.984275,449609.849371,639561.645352,766310.445559
2025,153535.728348,450173.090769,639610.554149,768831.620307
2026,157342.399298,450897.25828,639673.436888,772073.130698
2027,160726.10681,451540.962735,639729.332655,774954.473267
2028,163686.850883,452104.204133,639778.241452,777475.648015
2029,167385.192215,453062.542408,640148.77104,780671.624404
2030,169927.752096,453550.099997,640195.472113,782837.410578
2031,173741.591919,454281.436381,640265.523724,786086.08984
2032,177979.191722,455094.032362,640343.358846,789695.733465
2033,181793.031545,455825.368746,640413.410457,792944.412727
2034,186454.391328,456719.224326,640499.029092,796915.020714
2035,188996.95121,457206.781915,640545.730166,799080.806889
2036,193658.310993,458100.637495,640631.348801,803051.414876
2037,196200.870874,458588.195084,640678.049874,805217.20105
2038,200438.470677,459400.791066,640755.884997,808826.844675
2039,203828.55052,460050.867851,640818.153095,811714.559574
2040,208913.670283,461025.983029,640911.555242,816046.131924
2041,208913.670283,461025.983029,640911.555242,816046.131924
2042,208913.670283,461025.983029,640911.555242,816046.131924
2043,208913.670283,461025.983029,640911.555242,816046.131924
2044,209306.365152,461418.677898,641304.250111,816438.826793
2045,209306.365152,461418.677898,641304.250111,816438.826793
2046,209306.365152,461418.677898,641304.250111,816438.826793
2047,209306.365152,461418.677898,641304.250111,816438.826793
2048,209306.365152,461418.677898,641304.250111,816438.826793
2049,209306.365152,461418.677898,641304.250111,816438.826793
2050,209306.365152,461418.677898,641304.250111,816438.826793
