year,Base case cost,Modeled biomass for heat (pellet)
2017,110670.63917,124622.088856
2018,121518.77917,132360.649556
2019,136916.13917,143344.413129
2020,143914.93917,148337.032936
2021,149164.03917,152081.49779
2022,153013.37917,154827.438684
2023,155462.95917,156574.855616
2024,157912.53917,158322.272548
2025,160362.11917,160069.68948
2026,163511.57917,162316.368393
2027,166311.09917,164313.416316
2028,168760.67917,166060.833248
2029,171560.19917,168057.88117
2030,173659.83917,169555.667112
2031,176809.29917,171802.346025
2032,,
2033,,
2034,,
2035,,
2036,,
