year,Base case cost,Modeled non-residential energy efficiency
2017,246737.489853,246179.296583
2018,265264.010344,262709.462484
2019,291559.716848,286171.63344
2020,303512.310713,296836.256602
2021,312476.756112,304834.723974
2022,319050.682738,310700.266713
2023,323234.090591,314432.88482
2024,327417.498444,318165.502927
2025,331600.906296,321898.121033
2026,336979.573536,326697.201456
2027,341760.611082,330963.050721
2028,345944.018935,334695.668828
2029,350725.056481,338961.518093
2030,354310.83464,342160.905041
2031,359689.50188,346959.985464
