year,Base case cost,Modeled diesel efficiency
2019,125197.177936,294149.260411
2020,133656.446716,301839.504756
2021,140000.8983,307607.188014
2022,144653.496129,311836.822404
2023,147614.240202,314528.407925
2024,150574.984275,317219.993446
2025,153535.728348,319911.578966
2026,157342.399298,323372.188922
2027,160726.10681,326448.28666
2028,163686.850883,329139.87218
2029,167385.192215,332502.000664
2030,169927.752096,334813.418738
2031,173741.591919,338280.54585
2032,177979.191722,342132.909307
2033,181793.031545,345600.036418
2034,186454.391328,349837.636221
2035,188996.95121,352149.054295
2036,193658.310993,356386.654098
2037,196200.870874,358698.072173
2038,200438.470677,362550.43563
