year,Base case diesel consumed,Modeled solar power (pv)
2016,103205.647553,101353.813068
2017,103635.31303,101798.293221
2018,104150.911603,102328.587951
2019,104666.510175,102858.765113
2020,105268.041843,103474.758741
2021,105783.640415,104004.703578
2022,106299.238987,104534.533645
2023,106900.770655,105150.182955
2024,107502.302322,105765.719325
2025,108103.83399,106381.143656
2026,108619.432562,106910.523751
2027,109220.96423,107525.72669
2028,109650.629707,107968.954067
2029,110338.09447,108669.872235
2030,110939.626138,109284.74968
2031,111541.157805,109899.52036
2032,111970.823282,110342.318936
2033,112400.488759,110785.012448
2034,112744.221141,111141.66864
2035,113173.886618,111584.154537
