year,Base case cost,"Mentasta lake (right tributary of slana river) -- slana river, tributary",Carlson creek
2021,314177.412032,938244.642096,1485753.90294
2022,326338.66369,935640.320972,1461458.63168
2023,335668.419856,931013.165106,1437561.52756
2024,344007.367432,925862.138093,1414170.29908
2025,353499.537148,921989.718031,1391696.36187
2026,363875.099084,919119.216424,1369855.28758
2027,373535.697667,915980.108673,1348752.12931
2028,381584.19138,911668.711562,1327475.82157
2029,391700.235369,909523.763933,1307974.75883
2030,399382.654096,905539.645348,1288310.9852
2031,411586.872302,905662.100223,1270273.95975
2032,422130.003774,904538.61709,1251962.29991
2033,433865.88661,904682.694177,1234499.81003
2034,445339.673506,904801.076226,1217278.40172
2035,453827.285337,902665.937369,1200138.70152
2036,466910.599109,904682.890148,1184639.23622
2037,474735.666774,902498.086215,1168644.31177
2038,487977.956772,905109.185351,1154230.07897
2039,497484.735114,904696.533099,1139103.74521
2040,510496.724417,907492.34265,1125342.55968
2041,512019.458867,900671.784783,1109106.66059
2042,513542.193317,894046.772633,1093286.97906
2043,514684.244155,887232.040115,1077493.07772
2044,516206.978605,880984.478248,1062476.79621
2045,517729.713055,874919.032843,1047848.1482
2046,518871.763893,868650.751468,1033217.36391
2047,520013.814731,862556.150036,1018956.25604
2048,520775.181956,856250.473843,1004675.4757
2049,521917.232793,850491.114987,991127.92908
2050,523059.283631,844893.508117,977924.670318
