year,Base case diesel consumed,Modeled wind power
2019,104666.510175,77255.0008143
2020,105268.041843,77856.5324819
2021,105783.640415,78372.1310542
2022,106299.238987,78887.7296265
2023,106900.770655,79489.2612942
2024,107502.302322,80090.7929618
2025,108103.83399,80692.3246295
2026,108619.432562,81207.9232018
2027,109220.96423,81809.4548695
2028,109650.629707,82239.1203464
2029,110338.09447,82926.5851094
2030,110939.626138,83528.1167771
2031,111541.157805,84129.6484448
2032,111970.823282,84559.3139217
2033,112400.488759,84988.9793986
2034,112744.221141,85332.7117801
2035,113173.886618,85762.377257
2036,113603.552095,86192.0427339
2037,114119.150667,86707.6413062
2038,114548.816144,87137.3067831
