year,Base case diesel consumed,Modeled transmission and interties
2021,77896.5001306,38948.2500653
2022,77896.5001306,38948.2500653
2023,77896.5001306,38948.2500653
2024,77896.5001306,38948.2500653
2025,77896.5001306,38948.2500653
2026,77896.5001306,38948.2500653
2027,77896.5001306,38948.2500653
2028,78063.6600021,39031.8300011
2029,78063.6600021,39031.8300011
2030,78063.6600021,39031.8300011
2031,78063.6600021,39031.8300011
2032,78230.8198737,39115.4099368
2033,78230.8198737,39115.4099368
2034,78230.8198737,39115.4099368
2035,78397.9797452,39198.9898726
2036,78397.9797452,39198.9898726
2037,78397.9797452,39198.9898726
2038,78397.9797452,39198.9898726
2039,78397.9797452,39198.9898726
2040,78397.9797452,39198.9898726
